종목코드,종목명,종가,대비,등락률,상장시가총액
"089150","케이씨티","3800","-120","-3.06","65170.0"
"089230","THE E&M","992","-8","-0.80","24138.0"
"089790","제이티","4165","-85","-2.00","42964.0"
"089850","유비벨록스","6480","-80","-1.22","95452.0"
"089890","코세스","7120","-80","-1.11","118085.0"
"090150","아이윈","771","-3","-0.39","32286.0"
"090410","덕신이피씨","1490","16","1.09","68665.0"
"090470","제이스텍","3640","-30","-0.82","63615.0"
"091340","S&K폴리텍","2875","-20","-0.69","33648.0"
"091580","상신이디피","8000","-60","-0.74","106626.0"
"091590","남화토건","4255","-130","-2.96","49954.0"
"091970","나노캠텍","625","-7","-1.11","23386.0"
"092070","디엔에프","11900","10","0.08","137705.0"
"092300","현우산업","2740","-30","-1.08","51164.0"
"092870","엑시콘","10330","-40","-0.39","134815.0"
"093190","빅솔론","5950","-150","-2.46","114471.0"
"093380","풍강","2640","-5","-0.19","26081.0"
"093920","서원인텍","5670","-60","-1.05","105462.0"
"094840","슈프리마에이치큐","7380","-60","-0.81","77282.0"
"094850","참좋은여행","7470","-40","-0.53","104580.0"
"094860","네오리진","1007","-1","-0.10","21549.0"
"094940","푸른기술","8390","-50","-0.59","70152.0"
"094970","제이엠티","2285","0","0.00","38270.0"
"095270","웨이브일렉트로","4580","-80","-1.72","68568.0"
"095910","에스에너지","1715","8","0.47","39278.0"
"096350","대창솔루션","526","-37","-6.57","86138.0"
"096630","에스코넥","794","23","2.98","63029.0"
"096690","에이루트","1370","0","0.00","45864.0"
"096870","엘디티","2580","-45","-1.71","17230.0"
"097780","에코볼트","1111","-19","-1.68","75248.0"
"097800","윈팩","496","-5","-1.00","57759.0"
"097870","효성오앤비","6980","-30","-0.43","59260.0"
"098660","에스티오","2410","-40","-1.63","30127.0"
"099220","SDN","1341","-20","-1.47","87090.0"
"099390","브레인즈컴퍼니","6140","250","4.24","50399.0"
"099410","동방선기","3365","-65","-1.90","47110.0"
"099440","스맥","3015","-25","-0.82","121334.0"
"099750","이지케어텍","17890","-10","-0.06","122274.0"
"100030","인지소프트","17620","-50","-0.28","57859.0"
"100590","머큐리","3395","-5","-0.15","53743.0"
"100660","서암기계공업","3650","15","0.41","45990.0"
"100700","세운메디칼","2715","5","0.18","118917.0"
"101000","KS인더스트리","2240","5","0.22","74921.0"
"101170","우림피티에스","5030","-10","-0.20","67905.0"
"101240","씨큐브","4655","405","9.53","48137.0"
"101330","모베이스","3435","65","1.93","79510.0"
"101400","엔시트론","376","1","0.27","25737.0"
"101680","한국정밀기계","2305","-105","-4.36","19371.0"
"102370","케이옥션","4410","-225","-4.85","120081.0"
"103230","에스앤더블류","3340","-45","-1.33","24048.0"
"103840","우양","3135","245","8.48","51309.0"
"104040","대성파인텍","1047","4","0.38","49445.0"
"104200","NHN벅스","3090","-60","-1.90","45817.0"
"104540","코렌텍","5880","-200","-3.29","75180.0"
"104620","노랑풍선","5770","-100","-1.70","91409.0"
